protein1	protein2	score
Q9UP38	O00744	711
P12931	Q9Y5E4	711
Q8TAB3	P60709	711
Q562R1	Q9Y5H4	711
Q9NYJ7	Q8NES3	711
P18031	Q9NRJ7	711
P24723	O15111	711
P05113	P52333	711
P63261	P22223	711
P62736	Q9Y5H2	711
Q9Y5F3	P61160	711
Q14116	Q07889	711
P35222	Q9UN73	711
Q9UN75	P04626	711
P63267	Q9Y5E3	711
P68133	Q9HCL0	711
P06241	O75309	711
Q9HCU4	P06241	711
P06241	Q14517	711
Q9Y5G5	P19784	711
Q14626	P35225	711
P35225	Q01344	711
P05412	Q15759	711
P52630	P52333	711
Q9Y5G2	P04626	711
P55286	P61160	711
P35568	Q08334	711
Q9NRJ7	P61160	711
O60353	O00744	711
Q9H159	P62736	711
P55283	P21860	711
P06241	P60709	711
P67870	Q9Y5I0	711
P68133	Q9Y5E3	711
P61160	O60330	711
P25445	Q9UER7	711
P78536	Q9NYJ7	711
Q9Y297	O95071	711
Q99466	Q8NES3	711
P27361	P49137	711
P26951	P05113	711
P51828	O60262	711
P14784	P42336	711
Q9H251	Q15303	711
Q9H158	Q562R1	711
Q14116	Q13261	711
P01111	P15056	711
P19784	Q9Y5E2	711
P05771	O15111	711
P12931	Q9Y5G5	711
Q14627	P05112	711
Q04721	Q8NES3	711
Q9H159	P06241	711
P27361	Q8N5J4	711
Q16659	P40763	711
P05231	P42701	711
P12931	Q9Y5I1	711
P25025	P52333	711
P06241	P33151	711
P68032	Q9UN66	711
P63267	Q9UN66	711
P18031	Q9Y5F8	711
Q14116	P25024	711
O95206	Q562R1	711
P27361	Q15349	711
P67870	Q9Y5H1	711
P63261	Q9BZA7	711
Q9Y243	O14920	711
P60709	Q9Y5H7	711
Q9Y5H0	Q9UQB3	711
Q04721	Q92585	711
Q9NRP7	P10071	711
P14784	P52333	711
Q9UN73	Q8NEV1	711
O14654	P42336	711
P28482	Q02750	711
P06241	Q9NPG4	711
Q9Y243	P38936	711
P68133	Q9Y5I3	711
Q04721	Q9UBG7	711
Q9NRP7	Q99835	711
P68133	Q9Y5F7	711
P62736	P33151	711
P22223	O60716	711
O00587	Q99466	711
P35225	P24394	711
P46531	Q9BYC5	711
Q8NEV1	O60330	711
P68032	Q9Y5H2	711
Q9NPG4	Q9UQB3	711
P62993	Q8WV28	711
Q9H251	P42685	711
P68032	Q9H251	711
Q9Y5F6	P63267	711
P67870	Q9NYQ7	711
P12931	Q9Y5F0	711
P35225	Q99665	711
P26951	Q9HBE4	711
P26951	P42336	711
Q9Y4H2	P01308	711
Q9UN70	P35222	711
P12931	Q9Y5F3	711
Q13546	P05771	711
Q13546	P17252	711
Q9Y5F0	P00533	711
P60709	Q96JP9	711
Q9Y5F8	Q15303	711
P62736	Q9NPG4	711
P51828	P63215	711
